number,contract_name,name,address,banking,bike_stands,bonus,position_lat,position_lng,timestamp
71,dublin,"KEVIN STREET","Kevin Street",0,40,0,53.337757,-6.267699,1680599103
72,dublin,"JOHN STREET WEST","John Street West",0,31,0,53.343105,-6.277167,1680599103
73,dublin,"FRANCIS STREET","Francis Street",0,30,0,53.342081,-6.275233,1680599103
74,dublin,"OLIVER BOND STREET","Oliver Bond Street",0,30,0,53.343893,-6.280531,1680599103
75,dublin,"JAMES STREET","James Street",0,40,0,53.343456,-6.287409,1680599103
76,dublin,"MARKET STREET SOUTH","Market Street South",0,38,0,53.342296,-6.287661,1680599103
77,dublin,"WOLFE TONE STREET","Wolfe Tone Street",0,29,0,53.348875,-6.267459,1680599103
78,dublin,"MATER HOSPITAL","Mater Hospital",0,40,0,53.359967,-6.264828,1680599103
79,dublin,"ECCLES STREET EAST","Eccles Street East",0,27,0,53.358115,-6.265601,1680599103
80,dublin,"ST JAMES HOSPITAL (LUAS)","St James Hospital (Luas)",0,40,0,53.341359,-6.292951,1680599103
82,dublin,"MOUNT BROWN","Mount Brown",0,22,0,53.341645,-6.29719,1680599103
83,dublin,"EMMET ROAD","Emmet Road",0,40,0,53.340714,-6.308191,1680599103
84,dublin,"BROOKFIELD ROAD","Brookfield Road",0,30,0,53.339005,-6.300217,1680599103
85,dublin,"ROTHE ABBEY","Rothe Abbey",0,35,0,53.338776,-6.30395,1680599103
86,dublin,"PARKGATE STREET","Parkgate Street",0,38,0,53.347972,-6.291804,1680599103
87,dublin,"COLLINS BARRACKS MUSEUM","Collins Barracks Museum",0,38,0,53.347477,-6.28525,1680599103
88,dublin,"BLACKHALL PLACE","Blackhall Place",0,30,0,53.3488,-6.281637,1680599103
89,dublin,"FITZWILLIAM SQUARE EAST","Fitzwilliam Square East",0,40,0,53.335211,-6.2509,1680599103
90,dublin,"BENSON STREET","Benson Street",0,40,0,53.344153,-6.233451,1680599103
91,dublin,"SOUTH DOCK ROAD","South Dock Road",0,30,0,53.341833,-6.231291,1680599103
92,dublin,"HEUSTON BRIDGE (NORTH)","Heuston Bridge (North)",0,40,0,53.347802,-6.292432,1680599103
93,dublin,"HEUSTON STATION (CENTRAL)","Heuston Station (Central)",0,40,0,53.346603,-6.296924,1680599103
94,dublin,"HEUSTON STATION (CAR PARK)","Heuston Station (Car Park)",0,40,0,53.346985,-6.297804,1680599103
95,dublin,"ROYAL HOSPITAL","Royal Hospital",0,40,0,53.343897,-6.29706,1680599103
96,dublin,"KILMAINHAM LANE","Kilmainham Lane",0,30,0,53.341805,-6.305085,1680599103
97,dublin,"KILMAINHAM GAOL","Kilmainham Gaol",0,40,0,53.342113,-6.310015,1680599103
98,dublin,"FREDERICK STREET SOUTH","Frederick Street South",0,40,0,53.341515,-6.256853,1680599103
99,dublin,"CITY QUAY","City Quay",0,30,0,53.346637,-6.246154,1680599103
100,dublin,"HEUSTON BRIDGE (SOUTH)","Heuston Bridge (South)",0,25,0,53.347106,-6.292041,1680599103
101,dublin,"KING STREET NORTH","King Street North",0,30,0,53.350291,-6.273507,1680599103
102,dublin,"WESTERN WAY","Western Way",0,40,0,53.354929,-6.269425,1680599103
103,dublin,"GRANGEGORMAN LOWER (SOUTH)","Grangegorman Lower (South)",0,40,0,53.354663,-6.278681,1680599103
104,dublin,"GRANGEGORMAN LOWER (CENTRAL)","Grangegorman Lower (Central)",0,40,0,53.355173,-6.278424,1680599103
105,dublin,"GRANGEGORMAN LOWER (NORTH)","Grangegorman Lower (North)",0,36,0,53.355954,-6.278378,1680599103
106,dublin,"RATHDOWN ROAD","Rathdown Road",0,40,0,53.35893,-6.280337,1680599103
107,dublin,"CHARLEVILLE ROAD","Charleville Road",0,40,0,53.359157,-6.281866,1680599103
108,dublin,"AVONDALE ROAD","Avondale Road",0,35,0,53.359405,-6.276142,1680599103
109,dublin,"BUCKINGHAM STREET LOWER","Buckingham Street Lower",0,29,0,53.353331,-6.249319,1680599103
110,dublin,"PHIBSBOROUGH ROAD","Phibsborough Road",0,40,0,53.356307,-6.273717,1680599103
111,dublin,"MOUNTJOY SQUARE EAST","Mountjoy Square East",0,40,0,53.356717,-6.256359,1680599103
112,dublin,"NORTH CIRCULAR ROAD (O'CONNELL'S)","North Circular Road (O'Connell's)",0,30,0,53.357841,-6.251557,1680599103
113,dublin,"MERRION SQUARE SOUTH","Merrion Square South",0,40,0,53.338614,-6.248606,1680599103
114,dublin,"WILTON TERRACE (PARK)","Wilton Terrace (Park)",0,40,0,53.333653,-6.248345,1680599103
115,dublin,"KILLARNEY STREET","Killarney Street",0,30,0,53.354845,-6.247579,1680599103
116,dublin,BROADSTONE,Broadstone,0,30,0,53.3547,-6.272314,1680599103
117,dublin,"HANOVER QUAY EAST","Hanover Quay East",0,40,0,53.343653,-6.231755,1680599103
